open_issues,total_issues,contributors,months_inactive,label,cluster
0.3555555555555556,0.3793103448275862,0.1132742182812187,0.0212765957446808,1,0
1.0000000000000002,1.0,0.1666111074071604,0.0638297872340425,1,2
0.1555555555555555,0.2758620689655172,1.0,0.0,1,0
0.0311111111111111,0.0689655172413793,0.0532702180145343,0.1063829787234042,1,0
0.2,0.1724137931034483,6.667111140742716e-05,0.7446808510638298,0,1
0.1111111111111111,0.1034482758620689,0.0,1.0,0,1
0.0666666666666666,0.0862068965517241,0.0001333422228148,0.5744680851063829,0,1
0.0,0.0,0.0002666844456297,0.2340425531914893,1,0
0.0177777777777777,0.0068965517241379,0.0002000133342222,0.4042553191489362,1,0
0.0444444444444444,0.0275862068965517,0.0,0.8297872340425532,0,1
